method,mode,angle_state_label,physical_role_candidate,event_start_time_s,event_end_time_s,event_duration_s,peak_time_s,candidate_window_count,peak_anomaly_score,mean_anomaly_score,dominant_deviation_feature,global_peak_frequency_hz,representative_local_frequency_hz,local_frequency_low_hz,local_frequency_high_hz,interpretation,source_event_index,comparison_frequency_hz,consensus_cluster_id,consensus_level,method_count,supporting_methods
STVMD,IMF6,stable_43deg,background_dynamic_mode,41.5,45.495,3.994999999999997,42.5,5,7.4193983542425475,6.610009442870632,local_peak_frequency_hz,59.97479137691238,54.0,54.0,55.5,anomaly_candidate_not_confirmed_fault,18,54.0,C016,single_method_only,1,STVMD
VMD,IMF3,stable_43deg,background_dynamic_mode,44.5,46.995,2.494999999999997,45.5,2,4.060318187993844,4.060318187993844,local_peak_frequency_hz,17.793810848400554,20.0,20.0,20.0,anomaly_candidate_not_confirmed_fault,19,20.0,C017,single_method_only,1,VMD
STVMD,IMF6,stable_43deg,background_dynamic_mode,45.0,50.995,5.994999999999997,47.0,9,7.4193983542425475,5.7706431644108696,local_peak_frequency_hz,59.97479137691238,55.5,54.0,56.5,anomaly_candidate_not_confirmed_fault,20,55.5,C018,single_method_only,1,STVMD
AVMD,IMF4,stable_43deg,background_dynamic_mode,48.0,50.495,2.494999999999997,49.0,2,7.4193983542425475,5.73317145555106,local_peak_frequency_hz,54.08118915159944,49.75,48.5,51.0,anomaly_candidate_not_confirmed_fault,21,49.75,C019,single_method_only,1,AVMD
STVMD,IMF6,stable_43deg,background_dynamic_mode,50.5,52.995,2.494999999999997,51.5,2,6.070416835289357,5.733171455551059,local_peak_frequency_hz,59.97479137691238,55.25,55.0,55.5,anomaly_candidate_not_confirmed_fault,22,55.25,C020,single_method_only,1,STVMD
AVMD,IMF4,stable_43deg,background_dynamic_mode,51.5,53.995,2.494999999999997,52.5,2,6.7449075947659525,6.7449075947659525,local_peak_frequency_hz,54.08118915159944,49.0,49.0,49.0,anomaly_candidate_not_confirmed_fault,23,49.0,C021,single_method_only,1,AVMD
IOVMD,IMF3,stable_43deg,background_dynamic_mode,56.0,61.995,5.994999999999997,58.0,9,6.258828315523213,4.83800286241425,envelope_mean_nm,15.946627260083448,16.5,16.0,16.5,anomaly_candidate_not_confirmed_fault,24,16.5,C022,single_method_only,1,IOVMD
STVMD,IMF10,stable_43deg,background_dynamic_mode,60.0,62.495,2.494999999999997,61.0,2,3.7096991771212737,3.7096991771212737,local_peak_frequency_hz,97.83988178025034,92.0,92.0,92.0,anomaly_candidate_not_confirmed_fault,25,92.0,C023,single_method_only,1,STVMD
STVMD,IMF10,stable_43deg,background_dynamic_mode,63.0,65.495,2.4950000000000045,64.0,2,3.7096991771212737,3.7096991771212737,local_peak_frequency_hz,97.83988178025034,92.0,92.0,92.0,anomaly_candidate_not_confirmed_fault,26,92.0,C024,single_method_only,1,STVMD
AVMD,IMF7,stable_43deg,background_dynamic_mode,65.5,67.995,2.4950000000000045,66.5,2,7.4193983542425475,7.4193983542425475,local_peak_frequency_hz,90.29468011126563,86.5,86.5,86.5,anomaly_candidate_not_confirmed_fault,27,86.5,C025,single_method_only,1,AVMD
IOVMD,IMF3,stable_43deg,background_dynamic_mode,69.5,85.495,15.995000000000005,77.0,29,7.686862824319449,5.804833491259111,envelope_mean_nm,15.946627260083448,16.0,15.5,16.5,anomaly_candidate_not_confirmed_fault,28,16.0,C026,four_method_consensus,4,"AVMD,IOVMD,STVMD,SVMD"
AVMD,IMF7,stable_43deg,background_dynamic_mode,74.5,77.495,2.9950000000000045,75.5,3,8.093889113719143,6.295247088448222,local_peak_frequency_hz,90.29468011126563,96.0,96.0,98.0,anomaly_candidate_not_confirmed_fault,29,96.0,C027,two_method_consensus,2,"AVMD,SVMD"
SVMD,IMF10,stable_43deg,background_dynamic_mode,75.0,77.495,2.4950000000000045,76.0,2,5.395926075812762,5.395926075812762,local_peak_frequency_hz,90.29468011126563,96.0,96.0,96.0,anomaly_candidate_not_confirmed_fault,30,96.0,C027,two_method_consensus,2,"AVMD,SVMD"
STVMD,IMF6,stable_43deg,background_dynamic_mode,78.5,80.995,2.4950000000000045,80.0,2,6.7449075947659525,5.395926075812762,local_peak_frequency_hz,59.97479137691238,55.5,54.5,56.5,anomaly_candidate_not_confirmed_fault,31,55.5,C028,single_method_only,1,STVMD
AVMD,IMF7,stable_43deg,background_dynamic_mode,79.0,81.495,2.4950000000000045,80.0,2,4.046944556859572,4.046944556859572,local_peak_frequency_hz,90.29468011126563,89.0,89.0,89.0,anomaly_candidate_not_confirmed_fault,32,89.0,C029,two_method_consensus,2,"AVMD,SVMD"
IOVMD,IMF6,stable_43deg,angle_movement_response_candidate,79.0,82.495,3.4950000000000045,80.5,4,4.633693026335258,4.0811166779464365,envelope_mean_nm,35.626738525730175,36.0,36.0,36.0,anomaly_candidate_not_confirmed_fault,33,36.0,C030,two_method_consensus,2,"IOVMD,VMD"
SVMD,IMF10,stable_43deg,background_dynamic_mode,79.0,81.495,2.4950000000000045,80.0,2,4.046944556859572,4.046944556859572,local_peak_frequency_hz,90.29468011126563,89.0,89.0,89.0,anomaly_candidate_not_confirmed_fault,34,89.0,C029,two_method_consensus,2,"AVMD,SVMD"
VMD,IMF4,stable_43deg,angle_movement_response_candidate,79.0,81.995,2.9950000000000045,80.5,3,4.378109281363499,3.9569704831002217,envelope_mean_nm,35.626738525730175,36.0,36.0,36.0,anomaly_candidate_not_confirmed_fault,35,36.0,C030,two_method_consensus,2,"IOVMD,VMD"
STVMD,IMF6,stable_43deg,background_dynamic_mode,80.0,85.995,5.9950000000000045,82.0,9,7.4193983542425475,5.845586582130492,local_peak_frequency_hz,59.97479137691238,54.5,54.0,56.5,anomaly_candidate_not_confirmed_fault,36,54.5,C031,single_method_only,1,STVMD
AVMD,IMF2,stable_43deg,background_dynamic_mode,80.5,84.495,3.995000000000005,81.5,5,5.087242683632798,4.273283854251551,local_peak_frequency_hz,17.793810848400554,16.0,15.5,16.0,anomaly_candidate_not_confirmed_fault,37,16.0,C026,four_method_consensus,4,"AVMD,IOVMD,STVMD,SVMD"
