method,mode,angle_state_label,physical_role_candidate,event_start_time_s,event_end_time_s,event_duration_s,peak_time_s,candidate_window_count,peak_anomaly_score,mean_anomaly_score,dominant_deviation_feature,global_peak_frequency_hz,representative_local_frequency_hz,local_frequency_low_hz,local_frequency_high_hz,interpretation,source_event_index,comparison_frequency_hz,consensus_cluster_id,consensus_level,method_count,supporting_methods
SVMD,IMF8,stable_10deg,background_dynamic_mode,212.0,214.495,2.4950000000000045,213.5,2,6.070416835289357,5.395926075812762,local_peak_frequency_hz,72.63125869262865,68.0,67.5,68.5,anomaly_candidate_not_confirmed_fault,90,68.0,C064,single_method_only,1,SVMD
SVMD,IMF5,stable_10deg,angle_movement_response_candidate,217.0,219.995,2.9950000000000045,218.0,3,6.7449075947659525,5.845586582130491,local_peak_frequency_hz,39.90785813630041,35.0,34.5,36.0,anomaly_candidate_not_confirmed_fault,91,35.0,C056,two_method_consensus,2,"STVMD,SVMD"
STVMD,IMF6,stable_10deg,background_dynamic_mode,217.5,226.495,8.995000000000005,218.5,15,4.046944556859572,4.046944556859572,local_peak_frequency_hz,59.97479137691238,60.0,60.0,60.0,anomaly_candidate_not_confirmed_fault,92,60.0,C065,three_method_consensus,3,"AVMD,STVMD,VMD"
SVMD,IMF5,stable_10deg,angle_movement_response_candidate,219.0,229.995,10.995000000000005,220.0,19,6.070416835289357,5.75092121237939,local_peak_frequency_hz,39.90785813630041,35.0,35.0,36.0,anomaly_candidate_not_confirmed_fault,93,35.0,C056,two_method_consensus,2,"STVMD,SVMD"
VMD,IMF5,stable_10deg,background_dynamic_mode,219.5,221.995,2.4950000000000045,220.5,2,4.0,4.0,local_peak_frequency_hz,39.90785813630041,39.0,39.0,39.0,anomaly_candidate_not_confirmed_fault,94,39.0,C066,single_method_only,1,VMD
AVMD,IMF5,stable_10deg,background_dynamic_mode,221.0,223.495,2.4950000000000045,222.0,2,3.628752020485354,3.5868958468593206,envelope_mean_nm,59.97479137691238,60.0,60.0,60.0,anomaly_candidate_not_confirmed_fault,95,60.0,C065,three_method_consensus,3,"AVMD,STVMD,VMD"
VMD,IMF7,stable_10deg,background_dynamic_mode,221.0,224.495,3.4950000000000045,222.5,4,4.040186101580038,3.9083088099979744,envelope_mean_nm,59.97479137691238,60.0,60.0,60.0,anomaly_candidate_not_confirmed_fault,96,60.0,C065,three_method_consensus,3,"AVMD,STVMD,VMD"
SVMD,IMF8,stable_10deg,background_dynamic_mode,222.5,224.995,2.4950000000000045,223.5,2,4.721435316336167,4.721435316336167,local_peak_frequency_hz,72.63125869262865,68.5,68.5,68.5,anomaly_candidate_not_confirmed_fault,97,68.5,C067,single_method_only,1,SVMD
IOVMD,IMF7,stable_10deg,background_dynamic_mode,223.0,225.995,2.9950000000000045,224.0,3,6.0,6.0,local_peak_frequency_hz,39.90785813630041,38.5,38.5,38.5,anomaly_candidate_not_confirmed_fault,98,38.5,C068,two_method_consensus,2,"IOVMD,VMD"
VMD,IMF5,stable_10deg,background_dynamic_mode,223.0,225.995,2.9950000000000045,224.0,3,6.0,6.0,local_peak_frequency_hz,39.90785813630041,38.5,38.5,38.5,anomaly_candidate_not_confirmed_fault,99,38.5,C068,two_method_consensus,2,"IOVMD,VMD"
STVMD,IMF6,stable_10deg,background_dynamic_mode,226.0,228.495,2.4950000000000045,227.0,2,4.046944556859572,3.878321866990423,local_peak_frequency_hz,59.97479137691238,59.75,59.5,60.0,anomaly_candidate_not_confirmed_fault,100,59.75,C069,single_method_only,1,STVMD
SVMD,IMF8,stable_10deg,background_dynamic_mode,226.0,228.995,2.9950000000000045,227.0,3,4.721435316336167,4.721435316336167,local_peak_frequency_hz,72.63125869262865,68.5,68.5,68.5,anomaly_candidate_not_confirmed_fault,101,68.5,C070,single_method_only,1,SVMD
