method,mode,angle_state_label,physical_role_candidate,event_start_time_s,event_end_time_s,event_duration_s,peak_time_s,candidate_window_count,peak_anomaly_score,mean_anomaly_score,dominant_deviation_feature,global_peak_frequency_hz,representative_local_frequency_hz,local_frequency_low_hz,local_frequency_high_hz,interpretation
STVMD,IMF6,stable_43deg,background_dynamic_mode,45.0,50.995,5.994999999999997,47.0,9,7.4193983542425475,5.7706431644108696,local_peak_frequency_hz,59.97479137691238,55.5,54.0,56.5,anomaly_candidate_not_confirmed_fault
AVMD,IMF4,stable_43deg,background_dynamic_mode,48.0,50.495,2.4949999999999974,49.0,2,7.4193983542425475,5.73317145555106,local_peak_frequency_hz,54.08118915159944,49.75,48.5,51.0,anomaly_candidate_not_confirmed_fault
STVMD,IMF6,stable_43deg,background_dynamic_mode,50.5,52.995,2.4949999999999974,51.5,2,6.070416835289357,5.733171455551059,local_peak_frequency_hz,59.97479137691238,55.25,55.0,55.5,anomaly_candidate_not_confirmed_fault
AVMD,IMF4,stable_43deg,background_dynamic_mode,51.5,53.995,2.4949999999999974,52.5,2,6.7449075947659525,6.7449075947659525,local_peak_frequency_hz,54.08118915159944,49.0,49.0,49.0,anomaly_candidate_not_confirmed_fault
IOVMD,IMF3,stable_43deg,background_dynamic_mode,56.0,61.995,5.994999999999997,58.0,9,6.258828315523213,4.83800286241425,envelope_mean_nm,15.946627260083448,16.5,16.0,16.5,anomaly_candidate_not_confirmed_fault
STVMD,IMF10,stable_43deg,background_dynamic_mode,60.0,62.495,2.4949999999999974,61.0,2,3.7096991771212737,3.7096991771212737,local_peak_frequency_hz,97.83988178025034,92.0,92.0,92.0,anomaly_candidate_not_confirmed_fault
STVMD,IMF10,stable_43deg,background_dynamic_mode,63.0,65.495,2.4950000000000045,64.0,2,3.7096991771212737,3.7096991771212737,local_peak_frequency_hz,97.83988178025034,92.0,92.0,92.0,anomaly_candidate_not_confirmed_fault
AVMD,IMF7,stable_43deg,background_dynamic_mode,65.5,67.995,2.4950000000000045,66.5,2,7.4193983542425475,7.4193983542425475,local_peak_frequency_hz,90.29468011126563,86.5,86.5,86.5,anomaly_candidate_not_confirmed_fault
IOVMD,IMF3,stable_43deg,background_dynamic_mode,69.5,85.495,15.995000000000005,77.0,29,7.686862824319449,5.804833491259111,envelope_mean_nm,15.946627260083448,16.0,15.5,16.5,anomaly_candidate_not_confirmed_fault
AVMD,IMF7,stable_43deg,background_dynamic_mode,74.5,77.495,2.9950000000000045,75.5,3,8.093889113719143,6.295247088448222,local_peak_frequency_hz,90.29468011126563,96.0,96.0,98.0,anomaly_candidate_not_confirmed_fault
SVMD,IMF10,stable_43deg,background_dynamic_mode,75.0,77.495,2.4950000000000045,76.0,2,5.395926075812762,5.395926075812762,local_peak_frequency_hz,90.29468011126563,96.0,96.0,96.0,anomaly_candidate_not_confirmed_fault
STVMD,IMF6,stable_43deg,background_dynamic_mode,78.5,80.995,2.4950000000000045,80.0,2,6.7449075947659525,5.395926075812762,local_peak_frequency_hz,59.97479137691238,55.5,54.5,56.5,anomaly_candidate_not_confirmed_fault
AVMD,IMF7,stable_43deg,background_dynamic_mode,79.0,81.495,2.4950000000000045,80.0,2,4.046944556859572,4.046944556859572,local_peak_frequency_hz,90.29468011126563,89.0,89.0,89.0,anomaly_candidate_not_confirmed_fault
