consensus_cluster_id,consensus_level,method_count,supporting_methods,method,mode,angle_state_label,event_start_time_s,event_end_time_s,peak_time_s,peak_anomaly_score,dominant_deviation_feature,global_peak_frequency_hz,representative_local_frequency_hz,local_frequency_low_hz,local_frequency_high_hz,physical_role_candidate,interpretation
C053,two_method_consensus,2,"IOVMD,VMD",IOVMD,IMF6,stable_43deg,167.0,169.495,168.0,4.046944556859572,local_peak_frequency_hz,35.626738525730175,32.5,32.5,32.5,angle_movement_response_candidate,anomaly_candidate_not_confirmed_fault
C053,two_method_consensus,2,"IOVMD,VMD",VMD,IMF4,stable_43deg,167.0,169.495,168.0,4.046944556859572,local_peak_frequency_hz,35.626738525730175,32.5,32.5,32.5,angle_movement_response_candidate,anomaly_candidate_not_confirmed_fault
C056,two_method_consensus,2,"STVMD,SVMD",STVMD,IMF5,stable_10deg,196.5,229.995,209.0,6.7449075947659525,local_peak_frequency_hz,39.90785813630041,35.0,34.5,36.5,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C056,two_method_consensus,2,"STVMD,SVMD",SVMD,IMF5,stable_10deg,196.5,203.495,197.5,6.070416835289357,local_peak_frequency_hz,39.90785813630041,35.0,35.0,35.5,angle_movement_response_candidate,anomaly_candidate_not_confirmed_fault
C056,two_method_consensus,2,"STVMD,SVMD",SVMD,IMF5,stable_10deg,202.5,207.995,203.5,5.395926075812762,local_peak_frequency_hz,39.90785813630041,36.0,35.5,36.5,angle_movement_response_candidate,anomaly_candidate_not_confirmed_fault
C056,two_method_consensus,2,"STVMD,SVMD",SVMD,IMF5,stable_10deg,208.5,212.495,211.5,6.7449075947659525,local_peak_frequency_hz,39.90785813630041,35.5,34.5,36.0,angle_movement_response_candidate,anomaly_candidate_not_confirmed_fault
C056,two_method_consensus,2,"STVMD,SVMD",SVMD,IMF5,stable_10deg,212.0,217.995,213.0,6.7449075947659525,local_peak_frequency_hz,39.90785813630041,35.0,34.5,35.5,angle_movement_response_candidate,anomaly_candidate_not_confirmed_fault
C056,two_method_consensus,2,"STVMD,SVMD",SVMD,IMF5,stable_10deg,217.0,219.995,218.0,6.7449075947659525,local_peak_frequency_hz,39.90785813630041,35.0,34.5,36.0,angle_movement_response_candidate,anomaly_candidate_not_confirmed_fault
C056,two_method_consensus,2,"STVMD,SVMD",SVMD,IMF5,stable_10deg,219.0,229.995,220.0,6.070416835289357,local_peak_frequency_hz,39.90785813630041,35.0,35.0,36.0,angle_movement_response_candidate,anomaly_candidate_not_confirmed_fault
C062,three_method_consensus,3,"IOVMD,STVMD,SVMD",IOVMD,IMF9,stable_10deg,205.5,207.995,206.5,4.046944556859572,local_peak_frequency_hz,72.63125869262865,69.0,69.0,69.0,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C062,three_method_consensus,3,"IOVMD,STVMD,SVMD",STVMD,IMF7,stable_10deg,205.5,207.995,206.5,4.046944556859572,local_peak_frequency_hz,59.94871349095966,69.0,69.0,69.0,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C062,three_method_consensus,3,"IOVMD,STVMD,SVMD",SVMD,IMF8,stable_10deg,205.5,208.495,207.5,4.721435316336167,local_peak_frequency_hz,72.63125869262865,69.0,68.5,69.0,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C065,three_method_consensus,3,"AVMD,STVMD,VMD",AVMD,IMF5,stable_10deg,221.0,223.495,222.0,3.628752020485354,envelope_mean_nm,59.97479137691238,60.0,60.0,60.0,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C065,three_method_consensus,3,"AVMD,STVMD,VMD",STVMD,IMF6,stable_10deg,217.5,226.495,218.5,4.046944556859572,local_peak_frequency_hz,59.97479137691238,60.0,60.0,60.0,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C065,three_method_consensus,3,"AVMD,STVMD,VMD",VMD,IMF7,stable_10deg,221.0,224.495,222.5,4.040186101580038,envelope_mean_nm,59.97479137691238,60.0,60.0,60.0,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C068,two_method_consensus,2,"IOVMD,VMD",IOVMD,IMF7,stable_10deg,223.0,225.995,224.0,6.0,local_peak_frequency_hz,39.90785813630041,38.5,38.5,38.5,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C068,two_method_consensus,2,"IOVMD,VMD",VMD,IMF5,stable_10deg,223.0,225.995,224.0,6.0,local_peak_frequency_hz,39.90785813630041,38.5,38.5,38.5,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
