method,mode,physical_role_candidate,global_peak_frequency_hz,angle_state_label,feature,sample_count,mean,standard_deviation,median,mad,robust_sigma,q05,q25,q75,q95,minimum,maximum
IOVMD,IMF2,background_dynamic_mode,5.4242002781641165,stable_10deg,envelope_mean_nm,175,0.022411423264119445,0.0047236421376236105,0.0217488014665588,0.002727937855402301,0.004044440664419451,0.01626529961545994,0.0191112783364672,0.0245816649363414,0.03139509730946191,0.0141384886233501,0.0410036648756428
IOVMD,IMF2,background_dynamic_mode,5.4242002781641165,stable_10deg,local_peak_frequency_hz,175,4.6257142857142854,1.2229469911592858,4.5,1.0,1.4826,3.0,4.0,5.5,7.0,2.5,8.5
IOVMD,IMF2,background_dynamic_mode,5.4242002781641165,stable_10deg,rms_nm,175,0.01800741923613398,0.00418422205867697,0.0171671193049666,0.002064099950220298,0.0030602345861966136,0.01316480327235752,0.015447956162929499,0.01957426233193315,0.02420639238491821,0.0111334617232916,0.0379671352609634
IOVMD,IMF2,background_dynamic_mode,5.4242002781641165,stable_43deg,energy_nm2,184,0.1841028208382172,0.07141257608821212,0.18292504008594013,0.044988644242860004,0.06670016395446424,0.08751037439354561,0.13109180552063687,0.22010300025349883,0.29354933942729255,0.0644640019595915,0.5331286499622261
IOVMD,IMF2,background_dynamic_mode,5.4242002781641165,stable_43deg,envelope_mean_nm,184,0.02652998449176083,0.005222929950383259,0.02654033212357955,0.0037348608575329,0.005537304707378277,0.018776116760150997,0.022637538877618976,0.029914615664635723,0.0339917025864622,0.0157675530756318,0.0484244479564647
IOVMD,IMF2,background_dynamic_mode,5.4242002781641165,stable_43deg,local_peak_frequency_hz,184,4.853260869565218,1.1642161073829678,5.0,1.0,1.4826,3.0,4.0,5.5,6.5,2.5,8.0
IOVMD,IMF2,background_dynamic_mode,5.4242002781641165,stable_43deg,rms_nm,184,0.02107082576674632,0.00404552850569717,0.0213848516266619,0.0026205234963721496,0.0038851881357213486,0.01479095947345368,0.0181032888730942,0.023457366614059425,0.027090072767763956,0.0126948810509976,0.036507829638388
IOVMD,IMF3,background_dynamic_mode,15.946627260083448,stable_10deg,energy_nm2,175,0.6477577629599423,0.41382832731169056,0.7014131232713978,0.35066786211732137,0.5199001723751406,0.059364519913674876,0.2147298482148295,0.9565171078105741,1.286214908502984,0.0346698487083141,1.533273923293064
IOVMD,IMF3,background_dynamic_mode,15.946627260083448,stable_10deg,envelope_mean_nm,175,0.0510255477510164,0.021911087657150677,0.0577681883026551,0.0142654543154963,0.021149962568154813,0.01563135885588605,0.029753545551260398,0.06839043932437275,0.07886256712383899,0.0114175143453607,0.0868075356114663
IOVMD,IMF3,background_dynamic_mode,15.946627260083448,stable_10deg,local_peak_frequency_hz,175,16.077142857142857,0.6552553745764548,16.0,0.5,0.7413,15.0,15.5,16.5,17.0,13.5,17.0
IOVMD,IMF3,background_dynamic_mode,15.946627260083448,stable_10deg,rms_nm,175,0.03729646915420095,0.015155205529040518,0.0418752051717778,0.009878696242671604,0.014646155049384919,0.012182383518335579,0.0231678065348263,0.04890058095557865,0.05670557738583703,0.0093099206103374,0.0619127192766773
IOVMD,IMF3,background_dynamic_mode,15.946627260083448,stable_43deg,energy_nm2,184,0.2978221867789937,0.3490831594132046,0.12924831895101108,0.05166221030273575,0.07659439299483603,0.05755520622941474,0.0850631874198709,0.3550279139290407,1.0738007655684914,0.0359016567840973,1.3563472952367184
IOVMD,IMF3,background_dynamic_mode,15.946627260083448,stable_43deg,envelope_mean_nm,184,0.03115163369859102,0.01900293007012645,0.02292105861531775,0.005183054913650599,0.007684397214978378,0.014959478606114915,0.018397324624117424,0.03728086348382442,0.07141725217542132,0.0123593013789022,0.0819899658944383
IOVMD,IMF3,background_dynamic_mode,15.946627260083448,stable_43deg,local_peak_frequency_hz,184,15.804347826086957,0.926113336013897,16.0,0.5,0.7413,14.0,15.0,16.5,17.0,13.5,17.0
IOVMD,IMF3,background_dynamic_mode,15.946627260083448,stable_43deg,rms_nm,184,0.02377924089080607,0.01341945883593419,0.01797555412790695,0.0037735858851531004,0.005594718433327987,0.011995327217283481,0.014582796971515474,0.029787725898532975,0.05181185034030288,0.0094738662625267,0.058231162087767
IOVMD,IMF4,background_dynamic_mode,17.793810848400554,stable_10deg,energy_nm2,175,0.33977755098127177,0.2986655207695527,0.1908844083549933,0.09099080970885509,0.13490297447434854,0.08215839438541013,0.1295843487247185,0.47855328429394306,0.9694175543399197,0.0493797573751754,1.4092239288355015
IOVMD,IMF4,background_dynamic_mode,17.793810848400554,stable_10deg,envelope_mean_nm,175,0.03552282572561855,0.015843793583075666,0.0295014373686206,0.008238852712181503,0.012214923031080295,0.01859201255380298,0.0238836883573408,0.0450489831148362,0.0668407111354787,0.0140628506583651,0.0828052145674396
IOVMD,IMF4,background_dynamic_mode,17.793810848400554,stable_10deg,local_peak_frequency_hz,175,17.68,0.4616312903994508,18.0,0.0,0.0,17.0,17.5,18.0,18.0,16.5,18.5
IOVMD,IMF4,background_dynamic_mode,17.793810848400554,stable_10deg,rms_nm,175,0.026794435645985725,0.011500341518318144,0.0218451601250135,0.0058474921281138,0.008669491829141519,0.01432971977705361,0.01799856280680205,0.034584876575569454,0.04922950218558328,0.0111107782552771,0.059355368940718
IOVMD,IMF4,background_dynamic_mode,17.793810848400554,stable_43deg,energy_nm2,184,2.5810417243862647,1.4665855799968608,2.705271895058493,1.1467647696347352,1.7001934474604583,0.6016725840913487,1.057961051934638,3.580215528114242,4.97671862310306,0.0793415765592499,7.050181157360616
IOVMD,IMF4,background_dynamic_mode,17.793810848400554,stable_43deg,envelope_mean_nm,184,0.10386312580255205,0.035851917514548685,0.11088698044703699,0.024977271517980945,0.037031302752558545,0.050766186386008355,0.06986345662157939,0.13089473822139078,0.1525965917092264,0.0190090204423539,0.1874952370675872
IOVMD,IMF4,background_dynamic_mode,17.793810848400554,stable_43deg,local_peak_frequency_hz,184,17.76358695652174,0.36188662150385376,18.0,0.0,0.0,17.0,17.5,18.0,18.0,17.0,18.5
IOVMD,IMF4,background_dynamic_mode,17.793810848400554,stable_43deg,rms_nm,184,0.07632857366868215,0.02509934143338682,0.08223854843429784,0.016729019823747512,0.02480244479068806,0.03878359341280039,0.05142860411759503,0.09460728313089893,0.1115427829699623,0.0140838184239262,0.1327608861577895
