time_s,raw_ch1_nm,angle_component_nm,estimated_angle_deg,angle_velocity_deg_s,state_label
130.495,1550.114519,1549.9005531845123,11.281566277102792,2.298649218750093,stable_10deg
130.5,1549.917374,1549.9004681851445,11.29307381804604,2.304367238584426,stable_10deg
130.505,1550.028763,1549.9003829745957,11.304609949488636,2.310085403097517,stable_10deg
130.51,1549.785971,1549.900297552861,11.316174672077015,2.3158036845849495,stable_10deg
130.515,1549.943817,1549.9002119199367,11.327767986334486,2.321522052264058,stable_10deg
130.52,1549.948625,1549.9001260758203,11.339389892599655,2.3272404661168977,stable_10deg
130.525,1549.82603,1549.9000400205107,11.351040390995655,2.332958898439763,stable_10deg
130.53,1549.878111,1549.8999537540076,11.362719481584053,2.3386773215277046,stable_10deg
130.535,1549.923784,1549.899867276312,11.374427164210932,2.3443956984413816,stable_10deg
130.54,1549.940612,1549.8997805874264,11.386163438568467,2.3501140014769106,stable_10deg
130.545,1550.04399,1549.8996936873539,11.397928304225701,2.3558321998509157,stable_10deg
130.55,1549.91497,1549.899606576099,11.409721760566976,2.3615502535459854,stable_10deg
130.555,1549.923784,1549.8995192536677,11.42154380676116,2.367268131779987,stable_10deg
130.56,1549.965453,1549.899431720067,11.433394441884776,2.37298581608254,stable_10deg
130.565,1549.841254,1549.8993439753044,11.445273664921986,2.378703275671157,stable_10deg
130.57,1549.973467,1549.899256019389,11.457181474641487,2.384420473606852,stable_10deg
130.575,1549.732295,1549.899167852331,11.469117869658055,2.3901373760281786,stable_10deg
130.58,1549.860483,1549.899079474142,11.481082848401769,2.3958539521528266,stable_10deg
130.585,1549.862887,1549.8989908848343,11.493076409179583,2.401570174276202,stable_10deg
130.59,1549.907758,1549.898902084422,11.505098550144531,2.4072860085372128,stable_10deg
130.595,1549.942214,1549.8988130729197,11.517149269264955,2.4130014179966963,stable_10deg
130.6,1549.886123,1549.898723850344,11.529228564324498,2.4187163718719873,stable_10deg
130.605,1549.991097,1549.898634416712,11.541336432983675,2.4244308455367403,stable_10deg
130.61,1550.008727,1549.898544772042,11.553472872779865,2.4301448082081123,stable_10deg
130.615,1550.000713,1549.8984549163536,11.565637881065756,2.4358582260255446,stable_10deg
130.62,1549.980679,1549.8983648496674,11.577831455040121,2.4415710682060165,stable_10deg
130.625,1549.847663,1549.8982745720052,11.590053591747816,2.447283300888614,stable_10deg
130.63,1549.937406,1549.8981840833903,11.602304288049007,2.4529948902124232,stable_10deg
130.635,1549.877309,1549.898093383847,11.61458354064994,2.4587058053944233,stable_10deg
130.64,1549.860483,1549.8980024734008,11.626891346102951,2.4644160156521266,stable_10deg
130.645,1549.713068,1549.8979113520782,11.639227700806462,2.470125496359543,stable_10deg
130.65,1549.696246,1549.8978200199065,11.651592601066547,2.4758342167336522,stable_10deg
130.655,1549.906957,1549.8977284769146,11.663986042973798,2.4815421367568646,stable_10deg
130.66,1549.944618,1549.8976367231328,11.676408022434115,2.4872492256466927,stable_10deg
130.665,1550.037578,1549.8975447585922,11.688858535230265,2.492955458776791,stable_10deg
130.67,1550.13616,1549.8974525833248,11.701337577021883,2.4986608022862455,stable_10deg
130.675,1549.96946,1549.8973601973644,11.713845143253128,2.5043652284706397,stable_10deg
130.68,1550.016741,1549.897267600745,11.72638122930659,2.5100687065471305,stable_10deg
130.685,1549.961446,1549.8971747935025,11.738945830318599,2.5157711934202354,stable_10deg
130.69,1549.875707,1549.8970817756742,11.751538941240792,2.521472658306756,stable_10deg
130.695,1549.891732,1549.8969885472984,11.764160556901667,2.5271730735024533,stable_10deg
130.7,1549.629759,1549.8968951084144,11.776810671975817,2.532872411302911,stable_10deg
130.705,1549.814814,1549.8968014590623,11.789489281014696,2.5385706347687886,stable_10deg
130.71,1549.852471,1549.8967075992844,11.802196378323504,2.5442677100395272,stable_10deg
130.715,1549.938208,1549.8966135291232,11.814931958115091,2.5499636094099998,stable_10deg
130.72,1550.073643,1549.896519248623,11.827696014417604,2.555658302097541,stable_10deg
130.725,1550.020748,1549.8964247578288,11.840488541136066,2.5613517573200184,stable_10deg
130.73,1550.013536,1549.8963300567868,11.853309531990805,2.5670439473726603,stable_10deg
