segment_id,angle_state_label,cycle_index_within_state,target_frequency_hz,window_start_time_s,window_end_time_s,center_time_s,band_power_nm2,band_rms_nm,local_peak_frequency_hz
10deg_2,stable_10deg,2,38.5,112.255,114.25,113.2525,0.00024617464017304326,0.01568995347899551,39.84375
10deg_2,stable_10deg,2,60.0,112.255,114.25,113.2525,0.00012194908334505836,0.01104305588798039,60.15625
10deg_2,stable_10deg,2,38.5,112.755,114.75,113.7525,0.00015351293468819424,0.012390033683900712,35.9375
10deg_2,stable_10deg,2,60.0,112.755,114.75,113.7525,0.00013558158316535562,0.011643950496517735,60.15625
10deg_2,stable_10deg,2,38.5,113.255,115.25,114.2525,0.0001380185609975788,0.011748130106428802,39.84375
10deg_2,stable_10deg,2,60.0,113.255,115.25,114.2525,0.00011238236275084123,0.01060105479425709,60.15625
10deg_2,stable_10deg,2,38.5,113.755,115.75,114.7525,0.00026267755064622513,0.016207330151700654,39.84375
10deg_2,stable_10deg,2,60.0,113.755,115.75,114.7525,0.0001362848666677966,0.01167411095834696,60.15625
10deg_2,stable_10deg,2,38.5,114.255,116.25,115.2525,0.00032174776908463424,0.01793732892837265,39.84375
10deg_2,stable_10deg,2,60.0,114.255,116.25,115.2525,5.74930462479045e-05,0.007582416913353189,60.15625
10deg_2,stable_10deg,2,38.5,114.755,116.75,115.7525,0.0002910904006312395,0.017061371592906577,39.84375
10deg_2,stable_10deg,2,60.0,114.755,116.75,115.7525,0.0001264046665444857,0.011242982991381144,60.15625
10deg_2,stable_10deg,2,38.5,115.255,117.25,116.2525,0.00022353916624387183,0.014951226245491432,35.9375
10deg_2,stable_10deg,2,60.0,115.255,117.25,116.2525,0.00015408654021739447,0.012413159961000843,59.375
10deg_2,stable_10deg,2,38.5,115.755,117.75,116.7525,0.0001829178231755742,0.01352471157457985,39.84375
10deg_2,stable_10deg,2,60.0,115.755,117.75,116.7525,0.00010496241793653562,0.010245116784914441,60.15625
10deg_2,stable_10deg,2,38.5,116.255,118.25,117.2525,0.00011406883585251198,0.010680301299706483,39.84375
10deg_2,stable_10deg,2,60.0,116.255,118.25,117.2525,5.743449616705377e-05,0.007578555018409101,55.46875
10deg_2,stable_10deg,2,38.5,116.755,118.75,117.7525,9.968217275682297e-05,0.009984095990965981,39.84375
10deg_2,stable_10deg,2,60.0,116.755,118.75,117.7525,8.708641607665994e-05,0.009332010291285579,55.46875
10deg_2,stable_10deg,2,38.5,117.255,119.25,118.2525,0.0001140351796116765,0.010678725561211718,36.71875
10deg_2,stable_10deg,2,60.0,117.255,119.25,118.2525,8.900849989373945e-05,0.009434431614768292,60.15625
10deg_2,stable_10deg,2,38.5,117.755,119.75,118.7525,8.502734555893316e-05,0.009221027359190144,35.9375
10deg_2,stable_10deg,2,60.0,117.755,119.75,118.7525,0.00010436697971050933,0.010216015843297685,60.15625
10deg_2,stable_10deg,2,38.5,118.255,120.25,119.2525,0.00020131565367596032,0.014188574758444214,39.84375
10deg_2,stable_10deg,2,60.0,118.255,120.25,119.2525,8.92869903809513e-05,0.00944917934960234,60.15625
10deg_2,stable_10deg,2,38.5,118.755,120.75,119.7525,0.00014351916171702518,0.011979948318629141,39.84375
10deg_2,stable_10deg,2,60.0,118.755,120.75,119.7525,7.416202528630399e-05,0.008611737646160848,61.71875
10deg_2,stable_10deg,2,38.5,119.255,121.25,120.2525,0.00018129841805999042,0.013464710099366804,39.84375
10deg_2,stable_10deg,2,60.0,119.255,121.25,120.2525,9.022226980837008e-05,0.009498540404102626,59.375
10deg_2,stable_10deg,2,38.5,119.755,121.75,120.7525,0.0002596459098976879,0.01611353188775471,39.84375
10deg_2,stable_10deg,2,60.0,119.755,121.75,120.7525,7.847928476052113e-05,0.008858853467606355,62.5
10deg_2,stable_10deg,2,38.5,120.255,122.25,121.2525,0.00031067916052607357,0.017626093172511983,39.84375
10deg_2,stable_10deg,2,60.0,120.255,122.25,121.2525,3.633740641254126e-05,0.00602805162656569,58.59375
10deg_2,stable_10deg,2,38.5,120.755,122.75,121.7525,0.00031384578895400444,0.017715693295888943,39.84375
10deg_2,stable_10deg,2,60.0,120.755,122.75,121.7525,8.175003468394714e-05,0.009041572578039019,60.15625
10deg_2,stable_10deg,2,38.5,121.255,123.25,122.2525,0.0002315896531781376,0.015218069955751208,39.84375
10deg_2,stable_10deg,2,60.0,121.255,123.25,122.2525,9.606427078617854e-05,0.009801238227192447,60.15625
10deg_2,stable_10deg,2,38.5,121.755,123.75,122.7525,0.000283087176296121,0.016825194688208544,39.84375
10deg_2,stable_10deg,2,60.0,121.755,123.75,122.7525,8.975222567952486e-05,0.009473765126892521,60.15625
10deg_2,stable_10deg,2,38.5,122.255,124.25,123.2525,0.0001928036528211343,0.013885375501625236,39.84375
10deg_2,stable_10deg,2,60.0,122.255,124.25,123.2525,6.883740314355671e-05,0.008296830909664045,60.15625
10deg_2,stable_10deg,2,38.5,122.755,124.75,123.7525,0.00016940823998754995,0.013015692067176066,35.15625
10deg_2,stable_10deg,2,60.0,122.755,124.75,123.7525,0.0001256597123806063,0.011209804297159086,60.15625
10deg_2,stable_10deg,2,38.5,123.255,125.25,124.2525,0.00015829844456855376,0.012581670976804064,35.15625
10deg_2,stable_10deg,2,60.0,123.255,125.25,124.2525,0.00014916477387249844,0.012213303151584278,60.15625
10deg_2,stable_10deg,2,38.5,123.755,125.75,124.7525,0.0002538096879601715,0.015931405711994515,39.84375
10deg_2,stable_10deg,2,60.0,123.755,125.75,124.7525,0.00014070130503976563,0.011861758092279812,60.15625
43deg_2,stable_43deg,2,38.5,142.7,144.695,143.6975,0.00031688341934284816,0.017801219602680267,39.84375
43deg_2,stable_43deg,2,60.0,142.7,144.695,143.6975,0.00020886977124608724,0.01445232753732378,60.15625
43deg_2,stable_43deg,2,38.5,143.2,145.195,144.1975,0.00045991362296058335,0.02144559681987385,39.0625
43deg_2,stable_43deg,2,60.0,143.2,145.195,144.1975,0.00026879087830940376,0.016394843040096595,60.15625
43deg_2,stable_43deg,2,38.5,143.7,145.695,144.6975,0.0003884040300020526,0.019707968692943792,38.28125
43deg_2,stable_43deg,2,60.0,143.7,145.695,144.6975,0.0003053911195481963,0.017475443329088857,60.15625
43deg_2,stable_43deg,2,38.5,144.2,146.195,145.1975,0.0007975960610423795,0.028241743236605978,39.0625
43deg_2,stable_43deg,2,60.0,144.2,146.195,145.1975,0.00020636727755528745,0.014365489116465456,59.375
43deg_2,stable_43deg,2,38.5,144.7,146.695,145.6975,0.0007482419557245772,0.027354011693434974,39.0625
43deg_2,stable_43deg,2,60.0,144.7,146.695,145.6975,0.00017310652300906652,0.013156995212018074,60.15625
43deg_2,stable_43deg,2,38.5,145.2,147.195,146.1975,0.0004226716630301671,0.020558980106760334,39.0625
43deg_2,stable_43deg,2,60.0,145.2,147.195,146.1975,0.00012400943223437927,0.01113595223743256,60.15625
43deg_2,stable_43deg,2,38.5,145.7,147.695,146.6975,0.0002870349615411613,0.016942106171936276,39.84375
43deg_2,stable_43deg,2,60.0,145.7,147.695,146.6975,0.00017218001236342487,0.013121738160907833,60.15625
43deg_2,stable_43deg,2,38.5,146.2,148.195,147.1975,0.0004161809570771232,0.020400513647384547,39.84375
43deg_2,stable_43deg,2,60.0,146.2,148.195,147.1975,0.0002280387964116806,0.015100953493461286,60.15625
43deg_2,stable_43deg,2,38.5,146.7,148.695,147.6975,0.00031609443246571845,0.01777904475683996,35.9375
43deg_2,stable_43deg,2,60.0,146.7,148.695,147.6975,0.0003327481021702569,0.018241384327135287,60.15625
43deg_2,stable_43deg,2,38.5,147.2,149.195,148.1975,0.0003019609748229953,0.017377024337411607,37.5
43deg_2,stable_43deg,2,60.0,147.2,149.195,148.1975,0.0004145868552203727,0.020361406022678608,59.375
43deg_2,stable_43deg,2,38.5,147.7,149.695,148.6975,0.0003280038773587315,0.018110877321618948,37.5
43deg_2,stable_43deg,2,60.0,147.7,149.695,148.6975,0.00033299859802405496,0.018248249176949963,60.15625
43deg_2,stable_43deg,2,38.5,148.2,150.195,149.1975,0.0005057222394186331,0.02248826892890231,37.5
43deg_2,stable_43deg,2,60.0,148.2,150.195,149.1975,0.000406580836897455,0.02016384975389013,60.15625
43deg_2,stable_43deg,2,38.5,148.7,150.695,149.6975,0.00043994368365087765,0.020974834532145364,37.5
43deg_2,stable_43deg,2,60.0,148.7,150.695,149.6975,0.0003680637096893999,0.0191849865699562,60.15625
43deg_2,stable_43deg,2,38.5,149.2,151.195,150.1975,0.0005134159898596806,0.022658684645399888,38.28125
43deg_2,stable_43deg,2,60.0,149.2,151.195,150.1975,0.00029194785353643795,0.0170864816020279,60.15625
43deg_2,stable_43deg,2,38.5,149.7,151.695,150.6975,0.0004488110856380099,0.021185161921448935,37.5
43deg_2,stable_43deg,2,60.0,149.7,151.695,150.6975,0.00035396045024748844,0.018813836670054526,60.15625
43deg_2,stable_43deg,2,38.5,150.2,152.195,151.1975,0.00027822707563372105,0.01668014015629728,42.96875
43deg_2,stable_43deg,2,60.0,150.2,152.195,151.1975,0.000281107286190845,0.016766254387633663,60.15625
43deg_2,stable_43deg,2,38.5,150.7,152.695,151.6975,0.0003083236077037894,0.017559145984466028,40.625
43deg_2,stable_43deg,2,60.0,150.7,152.695,151.6975,0.00022667440794414565,0.015055710144132877,57.8125
43deg_2,stable_43deg,2,38.5,151.2,153.195,152.1975,0.00025951507490376834,0.01610947158983709,37.5
43deg_2,stable_43deg,2,60.0,151.2,153.195,152.1975,0.0003589272771257028,0.01894537614104568,60.15625
43deg_2,stable_43deg,2,38.5,151.7,153.695,152.6975,0.0002518184977950049,0.015868790054538024,37.5
43deg_2,stable_43deg,2,60.0,151.7,153.695,152.6975,0.0004688152091039655,0.021652140981989875,60.15625
43deg_2,stable_43deg,2,38.5,152.2,154.195,153.1975,0.00040855458697995443,0.02021273328820114,37.5
43deg_2,stable_43deg,2,60.0,152.2,154.195,153.1975,0.00023898200857871087,0.015459042938639858,60.15625
43deg_2,stable_43deg,2,38.5,152.7,154.695,153.6975,0.0006649551084330145,0.025786723491615107,37.5
43deg_2,stable_43deg,2,60.0,152.7,154.695,153.6975,0.0004461542789155966,0.021122364425309886,59.375
43deg_2,stable_43deg,2,38.5,153.2,155.195,154.1975,0.0006153258470488513,0.024805762375884586,37.5
43deg_2,stable_43deg,2,60.0,153.2,155.195,154.1975,0.0003748389076269722,0.019360756897057827,60.15625
43deg_2,stable_43deg,2,38.5,153.7,155.695,154.6975,0.0004046164376228748,0.02011507985623907,39.84375
43deg_2,stable_43deg,2,60.0,153.7,155.695,154.6975,0.00025434983609089613,0.015948349008311054,60.15625
43deg_2,stable_43deg,2,38.5,154.2,156.195,155.1975,0.0003914902639493993,0.019786112906516006,39.84375
43deg_2,stable_43deg,2,60.0,154.2,156.195,155.1975,0.0002873284944564481,0.016950766780781574,60.15625
43deg_2,stable_43deg,2,38.5,154.7,156.695,155.6975,0.0002579880691109145,0.016062007007560247,39.84375
43deg_2,stable_43deg,2,60.0,154.7,156.695,155.6975,0.00024249399291929072,0.015572218625465374,57.8125
43deg_2,stable_43deg,2,38.5,155.2,157.195,156.1975,0.0003212123852439768,0.01792239898127415,39.84375
43deg_2,stable_43deg,2,60.0,155.2,157.195,156.1975,0.0002146433752312624,0.01465071244790718,57.8125
43deg_2,stable_43deg,2,38.5,155.7,157.695,156.6975,0.00036485238829189184,0.0191011096089178,39.84375
43deg_2,stable_43deg,2,60.0,155.7,157.695,156.6975,0.00018421520722959305,0.013572590291819503,60.15625
43deg_2,stable_43deg,2,38.5,156.2,158.195,157.1975,0.0005246753507046237,0.022905792950793556,39.84375
43deg_2,stable_43deg,2,60.0,156.2,158.195,157.1975,0.00021283375585494802,0.014588822977024159,60.15625
43deg_2,stable_43deg,2,38.5,156.7,158.695,157.6975,0.00036741979919056725,0.019168197598902387,39.84375
