method,mode,event_id,direction,start_time_s,end_time_s,duration_s,peak_frequency_hz,pre_event_rms_nm,post_event_rms_nm,expected_baseline_rms_nm,event_rms_nm,corrected_response_ratio,excess_percent
VMD,IMF7,4,43_to_10,183.66,196.315,12.655,59.97479137691238,0.02247379591364919,0.015522016338979396,0.019313266088312176,0.01141831007241615,0.5912159041461236,-40.878409585387644
VMD,IMF8,4,43_to_10,183.66,196.315,12.655,72.63125869262865,0.01409473910884374,0.014023561156331518,0.01405919517703164,0.016436779839283964,1.1691124301436941,16.911243014369415
VMD,IMF9,4,43_to_10,183.66,196.315,12.655,80.04607093184978,0.043967640728986276,0.04575060389759344,0.04486797960833374,0.03505000936554578,0.781180915020199,-21.881908497980096
VMD,IMF10,4,43_to_10,183.66,196.315,12.655,90.29468011126563,0.016367964781118554,0.018398964313455193,0.01741310079916462,0.02008749718574615,1.1535853043881668,15.358530438816675
IOVMD,IMF1,1,10_to_43,31.015,37.76,6.744999999999997,0.008692628650904,0.12101620981663833,0.14025314552584967,0.1309882969357946,0.059156842265851314,0.4516192946217761,-54.83807053782239
IOVMD,IMF2,1,10_to_43,31.015,37.76,6.744999999999997,5.4242002781641165,0.018387779749533213,0.018313507616355734,0.018350681258902393,0.014443588034658896,0.7870872928846679,-21.291270711533205
IOVMD,IMF3,1,10_to_43,31.015,37.76,6.744999999999997,15.946627260083448,0.03861707760597378,0.015834983440948906,0.029512924146896456,0.04092004589926872,1.3865127594810636,38.65127594810636
IOVMD,IMF4,1,10_to_43,31.015,37.76,6.744999999999997,17.793810848400554,0.022642321867816423,0.05078540287907953,0.039318137577689365,0.026072393213557043,0.6631136371106126,-33.688636288938746
IOVMD,IMF5,1,10_to_43,31.015,37.76,6.744999999999997,20.07127955493741,0.024067524331270438,0.02841476321894714,0.026331013047593953,0.029829812663959024,1.1328775163356193,13.287751633561928
IOVMD,IMF6,1,10_to_43,31.015,37.76,6.744999999999997,35.626738525730175,0.017527899382482177,0.015055776304329966,0.01633866054620823,0.02022995734778654,1.238164982409245,23.81649824092451
IOVMD,IMF7,1,10_to_43,31.015,37.76,6.744999999999997,39.90785813630041,0.021214450341331615,0.02271610621936454,0.02197810711883848,0.022380117613135117,1.018291406631286,1.8291406631286034
IOVMD,IMF8,1,10_to_43,31.015,37.76,6.744999999999997,59.97479137691238,0.013527740798433495,0.018525702167054296,0.01622037934038539,0.015637016886987584,0.9640352151354836,-3.5964784864516375
IOVMD,IMF9,1,10_to_43,31.015,37.76,6.744999999999997,72.63125869262865,0.012540349042373888,0.011363963622120344,0.011966620728289216,0.015687317906042907,1.310922963318953,31.092296331895298
IOVMD,IMF10,1,10_to_43,31.015,37.76,6.744999999999997,80.04607093184978,0.03830627026485996,0.044870980959589614,0.04171795341265165,0.048718072488362726,1.1677963203628339,16.779632036283388
IOVMD,IMF11,1,10_to_43,31.015,37.76,6.744999999999997,90.29468011126563,0.02612366519725577,0.01432827012261588,0.02106828431606332,0.01964235565671542,0.9323187100593323,-6.768128994066769
IOVMD,IMF1,2,43_to_10,87.79,94.25,6.459999999999994,0.008692628650904,0.14083921553861958,0.10895419860299338,0.12591009099106049,0.06719857710084692,0.5337028714054219,-46.629712859457804
IOVMD,IMF2,2,43_to_10,87.79,94.25,6.459999999999994,5.4242002781641165,0.020955169051051496,0.025135127351941833,0.023139724900660345,0.017512615647113934,0.756820391007076,-24.3179608992924
IOVMD,IMF3,2,43_to_10,87.79,94.25,6.459999999999994,15.946627260083448,0.042491520514824084,0.0421865134293309,0.04233929162719206,0.024138830835794982,0.570128358507822,-42.987164149217804
IOVMD,IMF4,2,43_to_10,87.79,94.25,6.459999999999994,17.793810848400554,0.03236141215209836,0.018647664889986953,0.02641019123678615,0.027850832414594427,1.0545486840625993,5.454868406259927
IOVMD,IMF5,2,43_to_10,87.79,94.25,6.459999999999994,20.07127955493741,0.030212285050750073,0.025585727430868486,0.027994746079884992,0.028517933081936446,1.018688756831675,1.8688756831674924
IOVMD,IMF6,2,43_to_10,87.79,94.25,6.459999999999994,35.626738525730175,0.018824578234926052,0.02066108696936835,0.01976417542523156,0.02325618468988264,1.1766837821219231,17.668378212192316
IOVMD,IMF7,2,43_to_10,87.79,94.25,6.459999999999994,39.90785813630041,0.02992889597355856,0.020364121918503335,0.025597229105000386,0.02188556453685858,0.8549974080039493,-14.50025919960507
IOVMD,IMF8,2,43_to_10,87.79,94.25,6.459999999999994,59.97479137691238,0.022183687728151238,0.015111038532202234,0.018979719264807744,0.01722151105512,0.9073638453152562,-9.263615468474384
