time,CH1
37:48.785,1549.926989
37:48.786,1549.926989
37:48.786,1549.925387
37:48.787,1549.926188
37:48.793,1549.925387
37:48.798,1549.926188
37:48.803,1549.927791
37:48.808,1549.926188
37:48.817,1549.926188
37:48.831,1549.925387
37:48.832,1549.926989
37:48.832,1549.926989
37:48.833,1549.926989
37:48.838,1549.926989
37:48.842,1549.926188
37:48.847,1549.927791
37:48.852,1549.924585
37:48.857,1549.927791
37:48.877,1549.927791
37:48.878,1549.926989
37:48.878,1549.926989
37:48.878,1549.925387
37:48.882,1549.925387
37:48.888,1549.925387
37:48.893,1549.926989
37:48.898,1549.926989
37:48.907,1549.926989
37:48.921,1549.926188
37:48.921,1549.926989
37:48.921,1549.926188
37:48.922,1549.926989
37:48.927,1549.926989
37:48.932,1549.926989
37:48.938,1549.927791
37:48.943,1549.926188
37:48.947,1549.926188
37:48.967,1549.926188
37:48.967,1549.925387
37:48.967,1549.926188
37:48.968,1549.926989
37:48.973,1549.926188
37:48.978,1549.926188
37:48.983,1549.926989
37:48.988,1549.926989
37:48.997,1549.924585
37:49.011,1549.924585
37:49.011,1549.926188
37:49.011,1549.927791
37:49.013,1549.926989
37:49.018,1549.926188
37:49.023,1549.926989
37:49.028,1549.925387
37:49.032,1549.926989
37:49.061,1549.926188
37:49.061,1549.926989
37:49.061,1549.926188
37:49.062,1549.926188
37:49.062,1549.926188
37:49.062,1549.926188
37:49.068,1549.925387
37:49.073,1549.927791
37:49.078,1549.926188
37:49.083,1549.926989
37:49.087,1549.926989
37:49.107,1549.926989
37:49.107,1549.927791
37:49.107,1549.927791
37:49.110,1549.926188
37:49.113,1549.926188
37:49.117,1549.925387
37:49.123,1549.926188
37:49.128,1549.926989
37:49.137,1549.926188
37:49.152,1549.926188
37:49.152,1549.926188
37:49.153,1549.926989
37:49.153,1549.926989
37:49.158,1549.926989
37:49.163,1549.925387
37:49.168,1549.926188
37:49.173,1549.926989
37:49.177,1549.928592
37:49.197,1549.926188
37:49.198,1549.925387
37:49.198,1549.925387
37:49.198,1549.926188
37:49.202,1549.927791
37:49.208,1549.926989
37:49.213,1549.927791
37:49.217,1549.926188
37:49.241,1549.926188
37:49.242,1549.926188
37:49.242,1549.925387
37:49.242,1549.926989
37:49.243,1549.926989
37:49.247,1549.927791
37:49.253,1549.926188
37:49.258,1549.925387
37:49.263,1549.926989
37:49.267,1549.926989
37:49.287,1549.926989
37:49.288,1549.926188
37:49.288,1549.926989
37:49.289,1549.926989
37:49.293,1549.925387
37:49.298,1549.925387
37:49.303,1549.926188
37:49.308,1549.926989
37:49.317,1549.927791
37:49.330,1549.926188
37:49.331,1549.926188
37:49.331,1549.925387
37:49.333,1549.927791
37:49.338,1549.927791
37:49.342,1549.926989
37:49.348,1549.925387
37:49.352,1549.926188
37:49.362,1549.926188
37:49.376,1549.926188
37:49.377,1549.926188
37:49.377,1549.926989
37:49.377,1549.926989
37:49.382,1549.927791
37:49.388,1549.926989
37:49.393,1549.926989
37:49.398,1549.926188
37:49.407,1549.926188
37:49.421,1549.927791
37:49.421,1549.926188
37:49.421,1549.926188
37:49.422,1549.927791
37:49.428,1549.926188
37:49.433,1549.925387
37:49.437,1549.926989
37:49.443,1549.926188
37:49.453,1549.926989
37:49.466,1549.926989
37:49.466,1549.927791
37:49.467,1549.927791
37:49.467,1549.925387
37:49.473,1549.926188
37:49.477,1549.926989
37:49.483,1549.926989
37:49.488,1549.926989
37:49.498,1549.926989
37:49.511,1549.926188
37:49.511,1549.926188
37:49.511,1549.925387
37:49.512,1549.927791
37:49.517,1549.926188
37:49.523,1549.926989
37:49.528,1549.926188
37:49.532,1549.926188
37:49.537,1549.926989
37:49.558,1549.926989
37:49.558,1549.926989
37:49.558,1549.926989
37:49.559,1549.925387
37:49.562,1549.927791
37:49.568,1549.925387
37:49.573,1549.926989
37:49.578,1549.926989
37:49.587,1549.927791
37:49.601,1549.926188
37:49.601,1549.925387
37:49.602,1549.925387
37:49.602,1549.925387
37:49.607,1549.927791
37:49.612,1549.929393
37:49.618,1549.926989
37:49.622,1549.925387
37:49.645,1549.925387
37:49.645,1549.926989
37:49.645,1549.927791
37:49.646,1549.926188
37:49.647,1549.926989
