time,CH1
26:31.363,1549.913367
26:31.369,1549.906155
26:31.402,1549.890931
26:31.403,1549.915771
26:31.408,1549.987090
26:31.409,1549.943817
26:31.409,1550.059217
26:31.410,1549.983885
26:31.411,1549.893335
26:31.412,1549.994302
26:31.413,1549.729892
26:31.418,1549.834844
26:31.423,1549.631361
26:31.429,1549.877309
26:31.463,1549.862887
26:31.469,1549.881316
26:31.470,1550.038380
26:31.470,1549.870899
26:31.470,1550.098489
26:31.471,1549.973467
26:31.472,1549.948625
26:31.472,1549.753124
26:31.474,1549.730693
26:31.479,1549.764340
26:31.484,1549.957440
26:31.489,1549.822024
26:31.493,1549.941413
26:31.520,1549.848465
26:31.526,1550.008727
26:31.526,1550.165016
26:31.527,1549.911764
26:31.527,1550.013536
26:31.528,1549.749919
26:31.529,1550.040784
26:31.533,1549.954234
26:31.539,1549.992700
26:31.543,1550.029564
26:31.549,1549.878111
26:31.580,1549.971864
26:31.586,1550.008727
26:31.586,1550.023954
26:31.587,1549.995905
26:31.587,1549.914168
26:31.588,1549.935804
26:31.588,1550.114519
26:31.589,1549.975871
26:31.594,1550.161809
26:31.599,1550.161809
26:31.604,1549.901348
26:31.608,1549.918976
26:31.614,1549.832440
26:31.645,1549.926989
26:31.652,1549.850067
26:31.652,1549.955036
26:31.652,1549.927791
26:31.655,1550.087268
26:31.655,1550.032770
26:31.656,1549.984686
26:31.656,1549.934201
26:31.659,1549.934201
26:31.663,1549.833241
26:31.669,1549.829235
26:31.673,1549.790778
26:31.678,1549.833241
26:31.707,1549.894937
26:31.711,1549.861284
26:31.712,1550.023153
26:31.712,1549.864489
26:31.714,1550.052805
26:31.714,1549.887726
26:31.715,1549.814012
26:31.719,1549.886925
26:31.724,1549.675418
26:31.729,1549.862887
26:31.733,1549.761135
26:31.738,1549.854875
26:31.766,1549.944618
26:31.772,1549.858079
26:31.773,1549.990296
26:31.774,1550.085665
26:31.774,1550.023954
26:31.775,1549.972665
26:31.775,1549.814012
26:31.778,1549.826832
26:31.783,1549.797989
26:31.788,1549.745914
26:31.794,1549.939009
26:31.823,1549.758732
26:31.829,1549.947022
26:31.830,1550.035975
26:31.830,1550.033571
26:31.831,1550.090474
26:31.831,1549.950228
26:31.831,1550.014337
26:31.834,1549.848465
26:31.839,1549.942214
26:31.844,1549.961446
26:31.849,1549.850868
26:31.854,1549.857278
26:31.883,1549.873303
26:31.889,1549.959042
26:31.889,1550.025557
26:31.890,1549.934201
26:31.890,1550.050401
26:31.891,1550.066430
26:31.892,1549.972665
26:31.893,1550.058416
26:31.899,1549.831639
26:31.903,1549.949426
26:31.909,1549.852471
26:31.913,1549.826030
26:31.942,1549.872502
26:31.949,1549.776357
26:31.950,1549.920579
26:31.950,1549.983885
26:31.950,1550.050401
26:31.951,1550.047195
26:31.951,1549.910963
26:31.953,1549.953433
26:31.959,1549.954234
26:31.964,1549.893335
26:31.969,1549.775556
26:31.973,1549.656193
26:32.006,1549.751522
26:32.012,1549.793983
26:32.013,1549.944618
26:32.013,1550.088070
26:32.014,1549.880515
26:32.014,1549.992700
26:32.016,1549.962248
26:32.016,1549.968659
26:32.018,1549.963049
26:32.023,1549.667408
26:32.029,1549.818018
26:32.034,1549.727488
26:32.038,1549.830838
26:32.072,1550.053607
26:32.077,1549.914970
26:32.079,1549.979878
26:32.080,1549.922181
26:32.080,1549.933400
26:32.081,1550.020748
26:32.081,1549.890931
26:32.082,1549.829235
26:32.084,1549.716273
26:32.089,1549.727488
26:32.093,1549.930996
26:32.099,1549.869297
26:32.103,1549.915771
26:32.135,1549.947022
26:32.140,1549.922181
26:32.141,1550.033571
26:32.142,1549.909361
26:32.142,1550.080856
26:32.143,1549.854073
26:32.144,1549.923784
26:32.146,1549.959042
26:32.149,1549.808404
26:32.153,1549.924585
26:32.159,1549.910963
26:32.164,1549.945420
26:32.193,1549.976672
26:32.202,1549.935002
26:32.203,1549.981480
26:32.204,1550.060820
26:32.204,1549.985487
26:32.205,1550.179444
26:32.206,1549.907758
26:32.206,1549.931797
26:32.209,1549.904553
26:32.214,1549.858881
26:32.218,1549.907758
26:32.223,1549.781164
26:32.229,1549.971063
26:32.258,1549.878912
26:32.262,1550.035975
26:32.263,1550.074445
26:32.264,1549.988693
26:32.266,1550.040784
26:32.266,1549.928592
26:32.267,1549.943016
26:32.269,1549.947824
26:32.273,1549.773954
26:32.279,1549.848465
26:32.283,1549.870098
26:32.288,1549.843657
26:32.321,1550.047997
26:32.325,1549.781965
26:32.326,1550.030365
26:32.326,1549.943817
26:32.327,1550.003919
26:32.327,1549.981480
26:32.327,1549.855676
26:32.329,1549.914168
26:32.333,1549.846862
26:32.339,1549.939810
26:32.343,1549.903752
26:32.348,1549.922983
26:32.377,1549.918976
26:32.382,1550.004720
26:32.382,1549.967857
26:32.383,1550.000713
26:32.384,1549.926188
26:32.386,1550.103298
26:32.386,1550.011132
26:32.388,1549.930996
26:32.393,1550.003118
26:32.399,1549.717074
26:32.404,1549.996707
26:32.408,1549.870899
26:32.435,1549.938208
26:32.435,1549.754726
26:32.442,1549.766743
26:32.443,1549.935002
26:32.443,1549.958241
26:32.444,1550.053607
26:32.444,1550.037578
26:32.449,1549.913367
26:32.453,1549.815615
26:32.459,1549.814012
26:32.464,1549.851670
26:32.500,1549.919777
